time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-22T21:49:50.520Z,19.0485,-66.7063,49,3.37,md,14,269,0.5981,0.24,pr,pr2021053010,2021-02-22T23:01:25.040Z,"63 km N of Carrizales, Puerto Rico",earthquake,1.05,2.8,0.09,13,reviewed,pr,pr
2021-02-22T21:27:01.609Z,12.0752,-87.8495,35,4.8,mb,,170,1.018,1.4,us,us6000dk88,2021-02-22T22:01:32.076Z,"85 km SSW of Jiquilillo, Nicaragua",earthquake,6,2,0.041,184,reviewed,us,us
2021-02-22T21:05:01.081Z,12.0895,-87.9102,35,4.6,mb,,171,1.057,1.17,us,us6000dk7z,2021-02-22T22:00:01.040Z,"88 km SW of Jiquilillo, Nicaragua",earthquake,6,2,0.063,76,reviewed,us,us
2021-02-22T20:16:18.640Z,18.0405,-66.7425,17,2.53,md,21,92,0.1363,0.18,pr,pr2021053008,2021-02-22T20:54:29.240Z,"2 km SSE of Santo Domingo, Puerto Rico",earthquake,0.66,0.35,0.2,14,reviewed,pr,pr
2021-02-22T18:19:58.110Z,17.9098,-66.8438,12,2.57,md,19,206,0.0743,0.21,pr,pr2021053003,2021-02-22T19:30:56.167Z,"8 km SSE of Maria Antonia, Puerto Rico",earthquake,0.73,0.51,0.3,11,reviewed,pr,pr
2021-02-22T18:02:13.671Z,38.1669,-117.9892,2.1,3.1,ml,26,44.35,0.032,0.1653,nn,nn00800964,2021-02-23T16:43:54.375Z,"26 km SSE of Mina, Nevada",earthquake,,0.7,0.36,13,reviewed,nn,nn
2021-02-22T17:20:46.430Z,31.7329,-104.0623,7.03,2.5,ml,,48,0.203,0.46,us,us6000dk43,2021-02-22T18:30:59.040Z,"43 km W of Mentone, Texas",earthquake,1.6,5.8,0.059,38,reviewed,us,us
2021-02-22T15:52:13.700Z,18.7573,-65.6261,38,3.22,md,10,301,0.6543,0.19,pr,pr2021053002,2021-02-22T17:39:29.999Z,"42 km NNE of Vieques, Puerto Rico",earthquake,1.46,4.95,0.08,6,reviewed,pr,pr
2021-02-22T15:21:22.311Z,14.4172,-93.079,19.79,5.2,mww,,96,1.345,0.76,us,us6000dk3a,2021-02-22T23:12:29.040Z,"78 km WSW of Puerto Madero, Mexico",earthquake,8.6,4,0.098,10,reviewed,us,us
2021-02-22T15:06:35.891Z,19.8403,-71.0541,10,4.4,mb,,109,0.513,0.87,us,us6000dk39,2021-02-22T18:57:44.680Z,"2 km NNE of Villa Isabela, Dominican Republic",earthquake,4.1,1.9,0.269,4,reviewed,us,us
2021-02-22T13:54:30.635Z,47.7286,-128.5833,10,4.5,mb,,196,2.399,0.43,us,us6000dk33,2021-02-25T05:42:28.164Z,"253 km SW of Tofino, Canada",earthquake,8.6,2,0.052,108,reviewed,us,us
2021-02-22T12:04:06.513Z,45.8014,10.9647,11.13,4.3,mb,,35,0.538,0.5,us,us6000dk2l,2021-02-22T15:56:21.624Z,"2 km SSE of Brentonico, Italy",earthquake,1.4,5.2,0.178,9,reviewed,us,us
2021-02-22T07:29:57.027Z,6.9118,-73.1454,145.94,4.5,mb,,45,1.014,0.82,us,us6000dk12,2021-02-22T09:13:49.040Z,"13 km SW of Piedecuesta, Colombia",earthquake,6.1,8.2,0.066,67,reviewed,us,us
2021-02-22T05:20:00.040Z,34.39083333,-97.42516667,5.58,2.8,ml,36,83,0.04859046489,0.34,ok,ok2021drks,2021-02-22T13:50:49.736Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,1,0.24,14,reviewed,ok,ok
2021-02-22T05:12:22.550Z,31.6754,-104.3977,5,2.6,ml,,56,0.088,0.28,us,us6000dk0g,2021-02-23T12:50:25.040Z,"55 km S of Whites City, New Mexico",earthquake,1.1,1,0.053,46,reviewed,us,us
2021-02-22T03:50:39.060Z,-6.2585,104.1597,47.03,4.6,mb,,178,2.234,0.84,us,us6000dk02,2021-02-22T04:07:02.040Z,"152 km SW of Bandar Lampung, Indonesia",earthquake,9.9,6.7,0.114,23,reviewed,us,us
2021-02-22T01:54:43.728Z,31.6705,-104.4237,5,2.7,mb_lg,,60,0.065,0.63,us,us6000djz8,2021-02-22T02:20:00.040Z,"56 km S of Whites City, New Mexico",earthquake,1.2,1.6,0.088,40,reviewed,us,us
2021-02-22T01:38:13.840Z,37.0456667,-121.4781667,6.22,3.76,mw,164,33,0.02089,0.15,nc,nc73526151,2021-02-25T07:47:39.925Z,"9km ENE of Gilroy, CA",earthquake,0.09,0.24,,3,reviewed,nc,nc
